store_id,product_id,current_stock
S001,P001,5
S001,P002,45
S001,P003,72
S001,P004,3
S001,P005,38
S001,P006,150
S001,P007,51
S001,P008,150
S001,P009,64
S001,P010,5
S001,P011,47
S001,P012,33
S001,P013,150
S001,P014,76
S001,P015,5
S001,P016,22
S001,P017,41
S001,P018,150
S001,P019,80
S001,P020,150
S002,P001,3
S002,P002,36
S002,P003,61
S002,P004,5
S002,P005,44
S002,P006,150
S002,P007,55
S002,P008,150
S002,P009,70
S002,P010,6
S002,P011,53
S002,P012,27
S002,P013,150
S002,P014,68
S002,P015,6
S002,P016,18
S002,P017,49
S002,P018,150
S002,P019,80
S002,P020,150
S003,P001,6
S003,P002,42
S003,P003,80
S003,P004,3
S003,P005,31
S003,P006,150
S003,P007,47
S003,P008,150
S003,P009,59
S003,P010,6
S003,P011,45
S003,P012,40
S003,P013,150
S003,P014,85
S003,P015,4
S003,P016,24
S003,P017,37
S003,P018,150
S003,P019,80
S003,P020,150
S004,P001,4
S004,P002,39
S004,P003,67
S004,P004,4
S004,P005,35
S004,P006,150
S004,P007,60
S004,P008,150
S004,P009,75
S004,P010,6
S004,P011,50
S004,P012,90
S004,P013,150
S004,P014,71
S004,P015,5
S004,P016,21
S004,P017,44
S004,P018,150
S004,P019,80
S004,P020,150
S005,P001,4
S005,P002,48
S005,P003,73
S005,P004,5
S005,P005,42
S005,P006,150
S005,P007,53
S005,P008,150
S005,P009,66
S005,P010,5
S005,P011,46
S005,P012,37
S005,P013,150
S005,P014,79
S005,P015,3
S005,P016,25
S005,P017,39
S005,P018,150
S005,P019,80
S005,P020,150
